"time_s1.0"	"time_b1.0"	"time_s1.1"	"time_b1.1"	"mean_conntime"	"stdev_conntime"	"mean_reqtime"	"stdev_reqtime"	"time_addit"	"ser_1.1"	"burst_1.1"	"getall"	"http_vers"	"conn_b1.1"	"conn_s1.1"	"servers"	"size"	"retrieved"	"objects"	"size_ob1"
0.882	0.62	0.585	0.626	0.119	0.033	0.175	0.021	0	0.482	0.5	0.752	1.1	1	1	1	5986	3	3	1654
1.596	0.787	0.842	1.315	0.076	0.032	0.101	0.035	0.273	0.801	1.215	1.415	1.1	3	1	1	11829	4	4	966
5.443	1.749	19.766	16.126	0.065	0.018	0.093	0.025	0.344	19.711	16.037	16.215	1.1	1	2	2	93308	27	32	16757
28.393	10.802	22.114	21.431	0.222	0.051	0.264	0.107	1.214	21.805	21.226	21.636	1.1	2	2	1	117781	45	45	28170
3.444	4.894	18.825	17.809	0.021	0.022	0.105	0.111	0.199	18.803	17.766	17.852	1.1	1	2	1	61386	12	12	5337
5.415	6.054	19.225	17.721	0.051	0.027	0.08	0.034	0.552	19.179	17.689	17.753	1.1	1	2	1	170354	21	21	41865
2.64	1.629	2.728	1.74	0.25	0.113	0.267	0.079	0.43	2.458	1.485	1.995	1.1	2	0	1	2860	3	3	502
2.247	1.28	1.573	0.905	0.282	0.036	0.279	0.058	0	1.292	0.598	1.212	1.1	1	1	1	5720	4	4	950
10.019	8.172	24.651	17.387	0.195	0.028	0.197	0.038	0.945	24.507	17.362	17.412	1.1	1	2	1	64670	21	21	27951
16.573	8.026	53.371	40.834	0.419	0.808	0.422	0.818	3.103	53.112	40.52	41.148	1.1	2	2	2	34002	16	31	23070
4.936	2.463	3.327	1.7	0.199	0.039	0.233	0.032	0.586	3.157	1.549	1.851	1.1	2	2	1	22191	6	6	3688
11.821	5.79	3.573	8.659	0.182	0.057	0.499	1.071	0.89	3.502	8.449	8.869	1.1	6	1	1	34917	11	11	11815
4.425	4.82	3.948	2.773	0.279	0.029	0.318	0.019	0.049	3.653	2.505	3.041	1.1	1	1	1	25006	5	5	1286
6.955	3.042	24.571	21.021	0.084	0.035	0.104	0.028	0.175	24.507	20.857	21.185	1.1	1	2	1	109372	25	25	5987
13.195	7.185	5.657	7.918	0.217	0.046	0.205	0.049	0.344	5.471	7.795	8.041	1.1	2	2	1	117078	17	17	6306
9.895	3.168	6.86	21.444	0.149	0.066	0.283	0.447	0.355	6.736	21.271	21.617	1.1	14	2	1	64873	19	19	10349
7.003	4.967	3.998	2.856	0.265	0.062	0.323	0.054	0.342	3.689	2.59	3.122	1.1	1	1	1	28292	9	9	3707
8.133	2.418	4.92	8.318	0.162	0.06	0.163	0.067	0.457	4.789	8.084	8.552	1.1	2	1	1	69800	18	18	8130
12.376	1.773	4.259	1.321	0.631	1.75	0.259	0.416	0.285	4.121	1.196	1.446	1.1	1	1	1	39466	13	13	11298
2.826	1.726	1.819	1.501	0.352	0.037	0.368	0.069	0	1.412	1.232	1.77	1.1	1	1	1	12089	3	3	795
0.787	0.628	1.218	0.964	0.154	0.024	0.18	0.01	0.001	1.071	0.781	1.147	1.1	1	1	1	4538	2	2	902
20.797	5.553	21.521	13.772	0.467	0.707	0.927	1.258	2.062	21.228	13.517	14.027	1.1	1	2	2	50452	13	14	29009
10.157	5.973	20.229	23.321	0.277	0.035	1.419	1.951	5.07	19.994	19.975	26.667	1.1	1	2	2	29316	3	44	28557
37.483	12.936	34.208	22.115	0.766	1.094	0.685	0.964	2.114	33.851	21.839	22.391	1.1	1	2	1	78488	20	20	12588
0.877	0.734	0.68	0.535	0.082	0.024	0.129	0.045	0	0.616	0.481	0.589	1.1	1	1	1	19019	3	3	1655
22.865	4.301	7.548	12.216	1.449	1.727	0.822	1.15	0.473	7.335	11.839	12.593	1.1	4	1	1	26327	6	6	1529
19.095	16.563	26.101	19.401	0.412	0.193	0.794	0.1	0.004	25.841	19.061	19.741	1.1	1	1	1	34693	4	4	1538
22.573	44.085	41.401	6.308	0.232	0.049	0.593	1.174	0.58	10.493	6.124	6.492	1.1	1	1	1	65992	24	24	8058
1.434	1.402	0.898	0.616	0.193	0.037	0.16	0.037	0.108	0.692	0.489	0.743	1.1	1	1	1	4443	3	3	1640
13.344	2.58	7.862	2.024	0.222	0.03	0.366	0.471	0.325	7.733	1.902	2.146	1.1	1	1	1	43675	13	13	7440
59.243	38.11	21.515	2.816	1.086	2.294	1.404	5.57	6.356	21.4	2.702	2.93	1.1	1	1	1	127255	19	19	26165
0.824	0.641	0.877	0.765	0.062	0.036	0.063	0.022	0.325	0.829	0.715	0.815	1.1	1	1	2	20187	4	11	18385
18.594	6.304	32.104	23.202	0.103	0.066	0.187	0.228	0.499	31.911	23.106	23.298	1.1	1	2	1	144950	39	39	14163
2.486	1.862	8.671	1.49	0.251	0.049	0.218	0.012	0.282	8.427	1.318	1.662	1.1	2	0	1	8744	3	3	634
6.183	2.563	3.1	1.574	0.195	0.034	0.19	0.035	0.586	2.922	1.435	1.713	1.1	1	1	1	43854	12	12	9776
11.322	4.279	4.835	13.635	0.299	0.075	0.307	0.058	0.888	4.615	13.451	13.819	1.1	9	1	1	40124	11	11	10612
3.228	1.322	2.154	4.683	0.125	0.02	0.122	0.026	0.44	2.068	4.589	4.777	1.1	0	3	1	38796	10	10	19906
9.95	3.075	3.958	3.051	0.229	0.02	0.23	0.015	0.304	3.761	2.852	3.25	1.1	2	2	1	41256	13	13	2206
32.4	10.404	22.616	2.661	0.225	0.023	0.257	0.09	1.134	22.413	2.457	2.865	1.1	1	1	1	62547	63	63	20050
19.398	12.261	11.286	10.673	0.315	0.751	0.148	0.051	0.936	11.176	10.447	10.899	1.1	1	1	2	95851	37	39	26744
39.585	17.006	18.387	12.32	0.597	2.071	0.357	0.71	0.167	18.176	12.198	12.442	1.1	1	3	1	113918	24	24	7448
14.562	6.513	23.262	19.097	0.187	0.054	0.247	0.234	0.716	23.138	18.958	19.236	1.1	1	2	2	52531	31	32	19472
1.987	1.837	17.296	20.938	0.165	0.02	0.158	0.011	0.627	17.135	20.707	21.169	1.1	1	2	1	14102	3	3	9182
0.832	0.462	0.593	0.94	0.049	0.011	0.074	0.015	0.013	0.473	0.788	1.092	1.1	2	1	1	18216	4	4	2705
36.439	35.44	18.199	66.024	0.743	1.703	0.521	0.973	0.929	18.002	65.714	66.334	1.1	18	1	1	52549	26	26	12762
8.384	3.879	26.923	18.348	0.258	0.078	0.586	0.686	0.247	26.62	17.979	18.717	1.1	1	2	1	60439	5	5	3605
11.848	6.202	8.885	2.316	0.178	0.038	0.205	0.054	0.448	8.686	2.125	2.507	1.1	1	1	1	57635	14	14	13400
15.412	5.015	7.795	3.033	0.234	0.026	0.253	0.037	0.804	7.588	2.824	3.242	1	1	1	1	57596	25	25	10064
4.713	8.938	38.048	19.32	0.371	0.065	0.45	0.061	0.468	37.775	18.9	19.74	1.1	1	2	1	12486	4	4	3747
19.932	6.227	14.531	6.894	0.236	0.078	0.224	0.057	17.931	14.308	6.595	7.193	1.1	0	2	3	28466	3	5	23505
5.77	2.277	2.221	1.604	0.174	0.076	0.139	0.04	0.515	2.092	1.514	1.694	1.1	1	1	1	42487	10	10	5436
36.068	34.813	27.835	4.151	0.694	0.873	0.576	0.712	5.727	27.342	3.812	4.49	1.1	1	1	2	53975	22	23	24465
21.062	13.761	8.006	15.486	0.646	1.727	0.424	0.916	0.401	7.875	15.285	15.687	1.1	3	2	1	47377	13	13	7709
9.439	6.812	4.201	5.007	0.171	0.048	0.18	0.048	0.602	4.089	4.835	5.179	1.1	1	1	1	76112	18	18	11725
14.602	11.862	9.678	27.38	0.444	0.044	1.132	1.385	0	9.199	27.077	27.683	1.1	0	1	1	14348	4	4	970
2.856	5.591	1.631	6.36	0.247	0.041	0.244	0.059	0.007	1.367	6.156	6.564	1.1	2	1	1	17067	4	4	2468
