

1-Month Net Change
Series Id:    SMS01000000600000001

Seasonally Adjusted
State:        Alabama
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS01000000700000001,2008,M12,-5.1
SMS01000000700000001,2009,M01,-11.0
SMS01000000700000001,2009,M02,-7.0
SMS01000000700000001,2009,M03,-6.2
SMS01000000700000001,2009,M04,-2.1
SMS01000000700000001,2009,M05,-1.3
SMS01000000700000001,2009,M06,-2.2
SMS01000000700000001,2009,M07,-2.5
SMS01000000700000001,2009,M08,-2.7
SMS01000000700000001,2009,M09,-2.4
SMS01000000700000001,2009,M10,-2.9
SMS01000000700000001,2009,M11,2.2
SMS01000000700000001,2009,M12,-1.8
SMS01000000700000001,2010,M01,2.0
SMS01000000700000001,2010,M02,-1.6
SMS01000000700000001,2010,M03,3.1
SMS01000000700000001,2010,M04,1.8
SMS01000000700000001,2010,M05,11.2
SMS01000000700000001,2010,M06,-2.1
SMS01000000700000001,2010,M07,1.0
SMS01000000700000001,2010,M08,-4.3
SMS01000000700000001,2010,M09,-3.3
SMS01000000700000001,2010,M10,7.5
SMS01000000700000001,2010,M11,-0.8
SMS01000000700000001,2010,M12,1.3
SMS01000000700000001,2011,M01,-1.3
SMS01000000700000001,2011,M02,0.5
SMS01000000700000001,2011,M03,0.9
SMS01000000700000001,2011,M04,-1.1
SMS01000000700000001,2011,M05,-1.5
SMS01000000700000001,2011,M06,-3.0
SMS01000000700000001,2011,M07,5.5
SMS01000000700000001,2011,M08,-0.2
SMS01000000700000001,2011,M09,4.3
SMS01000000700000001,2011,M10,-2.9
SMS01000000700000001,2011,M11,0.0
SMS01000000700000001,2011,M12,-2.3
SMS01000000700000001,2012,M01,6.4
SMS01000000700000001,2012,M02,0.1
SMS01000000700000001,2012,M03,6.0
SMS01000000700000001,2012,M04,-1.1
SMS01000000700000001,2012,M05,-2.1
SMS01000000700000001,2012,M06,1.5
SMS01000000700000001,2012,M07,-4.2
SMS01000000700000001,2012,M08,3.7
SMS01000000700000001,2012,M09,2.1
SMS01000000700000001,2012,M10,1.7
SMS01000000700000001,2012,M11,1.1
SMS01000000700000001,2012,M12,-0.9
SMS01000000700000001,2013,M01,1.8
SMS01000000700000001,2013,M02,4.4
SMS01000000700000001,2013,M03,1.1
SMS01000000700000001,2013,M04,-0.8
SMS01000000700000001,2013,M05,3.8
SMS01000000700000001,2013,M06,-0.7
SMS01000000700000001,2013,M07,1.8
SMS01000000700000001,2013,M08,-0.2
SMS01000000700000001,2013,M09,-0.7
SMS01000000700000001,2013,M10,1.7
SMS01000000700000001,2013,M11,1.6
SMS01000000700000001,2013,M12,3.1
SMS01000000700000001,2014,M01,-0.8
SMS01000000700000001,2014,M02,-1.2
SMS01000000700000001,2014,M03,4.0
SMS01000000700000001,2014,M04,3.8
SMS01000000700000001,2014,M05,1.1
SMS01000000700000001,2014,M06,0.8
SMS01000000700000001,2014,M07,0.8
SMS01000000700000001,2014,M08,2.6
SMS01000000700000001,2014,M09,2.7
SMS01000000700000001,2014,M10,2.7
SMS01000000700000001,2014,M11,0.4
SMS01000000700000001,2014,M12,3.6
SMS01000000700000001,2015,M01,-1.4
SMS01000000700000001,2015,M02,1.3
SMS01000000700000001,2015,M03,-0.1
SMS01000000700000001,2015,M04,3.7
SMS01000000700000001,2015,M05,4.8
SMS01000000700000001,2015,M06,-0.9
SMS01000000700000001,2015,M07,2.7
SMS01000000700000001,2015,M08,3.1
SMS01000000700000001,2015,M09,0.6
SMS01000000700000001,2015,M10,4.7
SMS01000000700000001,2015,M11,1.2
SMS01000000700000001,2015,M12,1.1
SMS01000000700000001,2016,M01,2.3
SMS01000000700000001,2016,M02,1.8
SMS01000000700000001,2016,M03,1.0
SMS01000000700000001,2016,M04,4.0
SMS01000000700000001,2016,M05,-0.4
SMS01000000700000001,2016,M06,-1.4
SMS01000000700000001,2016,M07,4.8
SMS01000000700000001,2016,M08,1.3
SMS01000000700000001,2016,M09,2.4
SMS01000000700000001,2016,M10,-0.4
SMS01000000700000001,2016,M11,0.3
SMS01000000700000001,2016,M12,0.6
SMS01000000700000001,2017,M01,4.8
SMS01000000700000001,2017,M02,0.6
SMS01000000700000001,2017,M03,2.1
SMS01000000700000001,2017,M04,-2.3
SMS01000000700000001,2017,M05,1.1
SMS01000000700000001,2017,M06,3.8
SMS01000000700000001,2017,M07,-0.8
SMS01000000700000001,2017,M08,2.4
SMS01000000700000001,2017,M09,0.4
SMS01000000700000001,2017,M10,0.4
SMS01000000700000001,2017,M11,0.5
SMS01000000700000001,2017,M12,-0.8
SMS01000000700000001,2018,M01,5.2
SMS01000000700000001,2018,M02,3.2
SMS01000000700000001,2018,M03,-0.7
SMS01000000700000001,2018,M04,-1.7
SMS01000000700000001,2018,M05,4.5
SMS01000000700000001,2018,M06,1.0
SMS01000000700000001,2018,M07,0.9
SMS01000000700000001,2018,M08,0.5(P)

P : Preliminary


1-Month Net Change
Series Id:    SMS02000000600000001

Seasonally Adjusted
State:        Alaska
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS02000000600000001,2000,M01,-1.0
SMS02000000600000001,2000,M02,0.1
SMS02000000600000001,2000,M03,-0.3
SMS02000000600000001,2000,M04,0.7
SMS02000000600000001,2000,M05,0.1
SMS02000000600000001,2000,M06,0.2
SMS02000000600000001,2000,M07,0.1
SMS02000000600000001,2000,M08,0.1
SMS02000000600000001,2000,M09,0.0
SMS02000000600000001,2000,M10,-0.4
SMS02000000600000001,2000,M11,-0.1
SMS02000000600000001,2000,M12,0.4
SMS02000000600000001,2001,M01,-1.5
SMS02000000600000001,2001,M02,2.2
SMS02000000600000001,2001,M03,0.0
SMS02000000600000001,2001,M04,0.4
SMS02000000600000001,2001,M05,-0.2
SMS02000000600000001,2001,M06,-0.6
SMS02000000600000001,2001,M07,0.8
SMS02000000600000001,2001,M08,0.1
SMS02000000600000001,2001,M09,-0.2
SMS02000000600000001,2001,M10,-0.4
SMS02000000600000001,2001,M11,-0.9
SMS02000000600000001,2001,M12,-0.4
SMS02000000600000001,2002,M01,0.4
SMS02000000600000001,2002,M02,1.0
SMS02000000600000001,2002,M03,0.0
SMS02000000600000001,2002,M04,-0.6
SMS02000000600000001,2002,M05,-0.4
SMS02000000600000001,2002,M06,-0.1
SMS02000000600000001,2002,M07,0.6
SMS02000000600000001,2002,M08,0.0
SMS02000000600000001,2002,M09,0.0
SMS02000000600000001,2002,M10,0.6
SMS02000000600000001,2002,M11,0.3
SMS02000000600000001,2002,M12,0.2
SMS02000000600000001,2003,M01,-1.3
SMS02000000600000001,2003,M02,0.8
SMS02000000600000001,2003,M03,0.1
SMS02000000600000001,2003,M04,-1.3
SMS02000000600000001,2003,M05,1.2
SMS02000000600000001,2003,M06,0.6
SMS02000000600000001,2003,M07,-0.2
SMS02000000600000001,2003,M08,0.0
SMS02000000600000001,2003,M09,0.0
SMS02000000600000001,2003,M10,0.0
SMS02000000600000001,2003,M11,-0.3
SMS02000000600000001,2003,M12,-0.6
SMS02000000600000001,2004,M01,2.0
